title,price,city,location,images,modelyear,millage,fueltype,transmission,registeredin,color,assembly,enginecapacity,bodytype,lastupdated,adref,carfeatures,sellercomments
Toyota Sai G 2011,PKR 50 lacs,lahore," Johar Town, Lahore Punjab","['https://cache3.pakwheels.com/ad_pictures/1022/toyota-sai-g-57-2011-102281448.webp', 'https://cache2.pakwheels.com/ad_pictures/1022/toyota-sai-g-57-2011-102281445.webp', 'https://cache3.pakwheels.com/ad_pictures/1022/toyota-sai-g-57-2011-102281451.webp', 'https://cache3.pakwheels.com/ad_pictures/1022/toyota-sai-g-57-2011-102281449.webp', 'https://cache4.pakwheels.com/ad_pictures/1022/toyota-sai-g-57-2011-102281446.webp', 'https://cache1.pakwheels.com/ad_pictures/1022/toyota-sai-g-57-2011-102281447.webp', 'https://cache2.pakwheels.com/ad_pictures/1022/toyota-sai-g-57-2011-102281444.webp', 'https://wsa1.pakwheels.com/assets/pw-inspection-galary-pitch-14aa6aa9f784fc116bb9c547ba498541.png']","2011
","110,000 km",Hybrid,Automatic,Lahore,White,Imported,2400 cc,Sedan,"Jun 11, 2024",https://www.pakwheels.com/used-cars/toyota-sai-2011-for-sale-in-lahore-8769208,"[' ABS', ' AM/FM Radio', ' Air Bags', ' Air Conditioning', ' Alloy Rims', ' CD Player', ' Cruise Control', ' DVD Player', ' Immobilizer Key', ' Keyless Entry', ' Power Locks', ' Power Mirrors', ' Power Steering', ' Power Windows', ' Sun Roof']","
  Allow wheels first owner total geneiun original documents every thing is clear
    
"
Honda Civic VTi Oriel Prosmatec 1.8 i-VTEC 2016,PKR 46.5 lacs,lahore," Johar Town, Lahore Punjab","['https://cache3.pakwheels.com/ad_pictures/1020/honda-civic-vti-1-8-i-vtec-oriel-prosmatec-2016-102028053.webp', 'https://cache1.pakwheels.com/ad_pictures/1020/honda-civic-vti-1-8-i-vtec-oriel-prosmatec-2016-102028054.webp', 'https://cache4.pakwheels.com/ad_pictures/1020/honda-civic-vti-1-8-i-vtec-oriel-prosmatec-2016-102028050.webp', 'https://cache2.pakwheels.com/ad_pictures/1020/honda-civic-vti-1-8-i-vtec-oriel-prosmatec-2016-102028056.webp', 'https://cache1.pakwheels.com/ad_pictures/1020/honda-civic-vti-1-8-i-vtec-oriel-prosmatec-2016-102028052.webp', 'https://cache4.pakwheels.com/ad_pictures/1020/honda-civic-vti-1-8-i-vtec-oriel-prosmatec-2016-102028055.webp', 'https://cache2.pakwheels.com/ad_pictures/1020/honda-civic-vti-1-8-i-vtec-oriel-prosmatec-2016-102028049.webp', 'https://cache2.pakwheels.com/ad_pictures/1020/honda-civic-vti-1-8-i-vtec-oriel-prosmatec-2016-102028051.webp', 'https://wsa1.pakwheels.com/assets/pw-inspection-galary-pitch-14aa6aa9f784fc116bb9c547ba498541.png']","2016
","85,000 km",Petrol,Automatic,Lahore,Modern Steel Metallic,Local,1800 cc,Sedan,"Jun 11, 2024",https://www.pakwheels.com/used-cars/honda-civic-2016-for-sale-in-lahore-8750164,"[' ABS', ' AM/FM Radio', ' Air Bags', ' Air Conditioning', ' Alloy Rims', ' CD Player', ' Cruise Control', ' Immobilizer Key', ' Keyless Entry', ' Power Locks', ' Power Mirrors', ' Power Steering', ' Power Windows', ' Sun Roof']","
  One door repainted onlyUg package No dent no scratch Hid lights installed 2nd owner car
    
"
Nissan Dayz Highway star X 2016,PKR 23.65 lacs,lahore," Bismillah Housing Scheme, Lahore Punjab","['https://cache3.pakwheels.com/ad_pictures/1024/nissan-dayz-highway-star-x-2016-102436070.webp', 'https://cache2.pakwheels.com/ad_pictures/1024/nissan-dayz-highway-star-x-2016-102436075.webp', 'https://cache2.pakwheels.com/ad_pictures/1024/nissan-dayz-highway-star-x-2016-102436088.webp', 'https://cache2.pakwheels.com/ad_pictures/1024/nissan-dayz-highway-star-x-2016-102436074.webp', 'https://cache4.pakwheels.com/ad_pictures/1024/nissan-dayz-highway-star-x-2016-102436086.webp', 'https://cache3.pakwheels.com/ad_pictures/1024/nissan-dayz-highway-star-x-2016-102436079.webp', 'https://cache1.pakwheels.com/ad_pictures/1024/nissan-dayz-highway-star-x-2016-102436077.webp', 'https://cache2.pakwheels.com/ad_pictures/1024/nissan-dayz-highway-star-x-2016-102436085.webp', 'https://cache4.pakwheels.com/ad_pictures/1024/nissan-dayz-highway-star-x-2016-102436091.webp', 'https://cache2.pakwheels.com/ad_pictures/1024/nissan-dayz-highway-star-x-2016-102436087.webp', 'https://cache1.pakwheels.com/ad_pictures/1024/nissan-dayz-highway-star-x-2016-102436096.webp', 'https://cache4.pakwheels.com/ad_pictures/1024/nissan-dayz-highway-star-x-2016-102436100.webp', 'https://cache4.pakwheels.com/ad_pictures/1024/nissan-dayz-highway-star-x-2016-102436095.webp', 'https://cache3.pakwheels.com/ad_pictures/1027/nissan-dayz-highway-star-x-2016-102785925.webp', 'https://wsa1.pakwheels.com/assets/pw-inspection-galary-pitch-14aa6aa9f784fc116bb9c547ba498541.png']","2016
","68,000 km",Petrol,Automatic,Islamabad,Red,Imported,660 cc,Hatchback,"Jun 11, 2024",https://www.pakwheels.com/used-cars/nissan-dayz-2016-for-sale-in-lahore-8781220,"[' ABS', ' AM/FM Radio', ' Air Bags', ' Air Conditioning', ' Alloy Rims', ' Immobilizer Key', ' Keyless Entry', ' Power Locks', ' Power Mirrors', ' Power Steering', ' Power Windows']","
  Nissan Dayz Highway Star Full optional 3 Grade from japan2nd owner (on my name)used as 3rd car from last 2 years all seals are genuine original airbags 100%lill bit touchingdon't make any foolish offer JazzakAllah
    
"
Daihatsu Charade CX Turbo 1991,PKR 5.5 lacs,lahore," Wapda Town, Lahore Punjab","['https://cache2.pakwheels.com/ad_pictures/1029/daihatsu-charade-cx-turbo-1991-102993350.webp', 'https://cache2.pakwheels.com/ad_pictures/1029/daihatsu-charade-cx-turbo-1991-102993351.webp', 'https://cache3.pakwheels.com/ad_pictures/1029/daihatsu-charade-cx-turbo-1991-102993354.webp', 'https://cache2.pakwheels.com/ad_pictures/1029/daihatsu-charade-cx-turbo-1991-102993358.webp', 'https://cache1.pakwheels.com/ad_pictures/1029/daihatsu-charade-cx-turbo-1991-102993353.webp', 'https://cache1.pakwheels.com/ad_pictures/1029/daihatsu-charade-cx-turbo-1991-102993355.webp', 'https://cache3.pakwheels.com/ad_pictures/1029/daihatsu-charade-cx-turbo-1991-102993352.webp', 'https://cache4.pakwheels.com/ad_pictures/1029/daihatsu-charade-cx-turbo-1991-102993356.webp', 'https://cache2.pakwheels.com/ad_pictures/1029/daihatsu-charade-cx-turbo-1991-102993361.webp', 'https://cache2.pakwheels.com/ad_pictures/1029/daihatsu-charade-cx-turbo-1991-102993357.webp', 'https://cache4.pakwheels.com/ad_pictures/1029/daihatsu-charade-cx-turbo-1991-102993363.webp', 'https://cache2.pakwheels.com/ad_pictures/1029/daihatsu-charade-cx-turbo-1991-102993359.webp', 'https://cache2.pakwheels.com/ad_pictures/1029/daihatsu-charade-cx-turbo-1991-102993360.webp', 'https://cache4.pakwheels.com/ad_pictures/1029/daihatsu-charade-cx-turbo-1991-102993364.webp', 'https://cache3.pakwheels.com/ad_pictures/1029/daihatsu-charade-cx-turbo-1991-102993362.webp', 'https://cache4.pakwheels.com/ad_pictures/1029/daihatsu-charade-cx-turbo-1991-102993365.webp', 'https://cache4.pakwheels.com/ad_pictures/1029/daihatsu-charade-cx-turbo-1991-102993367.webp', 'https://cache2.pakwheels.com/ad_pictures/1029/daihatsu-charade-cx-turbo-1991-102993368.webp', 'https://cache2.pakwheels.com/ad_pictures/1029/daihatsu-charade-cx-turbo-1991-102993366.webp', 'https://cache2.pakwheels.com/ad_pictures/1029/daihatsu-charade-cx-turbo-1991-102993369.webp', 'https://wsa1.pakwheels.com/assets/pw-inspection-galary-pitch-14aa6aa9f784fc116bb9c547ba498541.png']","1991
","130,000 km",Diesel,Manual,Lahore,Grey,Imported,1000 cc,Hatchback,"Jun 11, 2024",https://www.pakwheels.com/used-cars/daihatsu-charade-1991-for-sale-in-lahore-8824151,"[' ABS', ' AM/FM Radio', ' CD Player', ' Power Mirrors', ' Power Steering', ' Power Windows']","
  All original documents are complete  .. Token tax paid for life. Brand new tires installed. Never got into accident. Original Book is available.
    
"
MG HS Trophy 2021,PKR 66.25 lacs,lahore, Lahore Punjab,"['https://cache4.pakwheels.com/ad_pictures/1028/mg-hs-2-trophy-2021-102869434.webp', 'https://cache4.pakwheels.com/ad_pictures/1028/mg-hs-2-trophy-2021-102869429.webp', 'https://cache3.pakwheels.com/ad_pictures/1028/mg-hs-2-trophy-2021-102869431.webp', 'https://cache4.pakwheels.com/ad_pictures/1028/mg-hs-2-trophy-2021-102869430.webp', 'https://cache2.pakwheels.com/ad_pictures/1028/mg-hs-2-trophy-2021-102869433.webp', 'https://cache1.pakwheels.com/ad_pictures/1028/mg-hs-2-trophy-2021-102869428.webp', 'https://cache3.pakwheels.com/ad_pictures/1028/mg-hs-2-trophy-2021-102869657.webp']","2021
","32,000 km",Petrol,Automatic,Punjab,White,Local,1500 cc,Crossover,"Jun 11, 2024",https://www.pakwheels.com/used-cars/mg-hs-2021-for-sale-in-lahore-8814840,"[' ABS', ' AM/FM Radio', ' Air Bags', ' Air Conditioning', ' Alloy Rims', ' CoolBox', ' Cruise Control', ' Immobilizer Key', ' Keyless Entry', ' Navigation System', ' Power Locks', ' Power Mirrors', ' Power Steering', ' Power Windows', ' Sun Roof']","
  Totally Genuine Scratchless Condition New MeterPerfect TyresMechanical 100%Complete Documents And Biometric Contact For Further Details!
    
"
KIA Sportage AWD 2021,PKR 71.75 lacs,lahore," Faisal Town, Lahore Punjab","['https://cache3.pakwheels.com/ad_pictures/9926/kia-sportage-awd-2021-99267912.webp', 'https://cache3.pakwheels.com/ad_pictures/9926/kia-sportage-awd-2021-99267906.webp', 'https://cache3.pakwheels.com/ad_pictures/9926/kia-sportage-awd-2021-99267913.webp', 'https://cache1.pakwheels.com/ad_pictures/9926/kia-sportage-awd-2021-99267910.webp', 'https://cache2.pakwheels.com/ad_pictures/9926/kia-sportage-awd-2021-99267902.webp', 'https://cache2.pakwheels.com/ad_pictures/9926/kia-sportage-awd-2021-99267911.webp', 'https://cache3.pakwheels.com/ad_pictures/9926/kia-sportage-awd-2021-99267909.webp', 'https://cache2.pakwheels.com/ad_pictures/9926/kia-sportage-awd-2021-99267907.webp', 'https://cache4.pakwheels.com/ad_pictures/9926/kia-sportage-awd-2021-99267900.webp', 'https://cache3.pakwheels.com/ad_pictures/9926/kia-sportage-awd-2021-99267903.webp', 'https://cache2.pakwheels.com/ad_pictures/9926/kia-sportage-awd-2021-99267901.webp', 'https://wsa1.pakwheels.com/assets/pw-inspection-galary-pitch-14aa6aa9f784fc116bb9c547ba498541.png']","2021
","32,000 km",Petrol,Automatic,Islamabad,White,Local,2000 cc,SUV,"Jun 11, 2024",https://www.pakwheels.com/used-cars/kia-sportage-2021-for-sale-in-lahore-8557388,"[' ABS', ' AM/FM Radio', ' Air Bags', ' Air Conditioning', ' Alloy Rims', ' Cruise Control', ' Immobilizer Key', ' Keyless Entry', ' Navigation System', ' Power Locks', ' Power Mirrors', ' Power Steering', ' Power Windows', ' Sun Roof']","
  Totally Genuine PaintScratch Less Condition Excellent New TyresComplete Documents Contact For Further Details 
    
"
Toyota Fortuner 2.8 Sigma 4 2022,PKR 1.66 crore,lahore," Faisal Town, Lahore Punjab","['https://cache2.pakwheels.com/ad_pictures/9802/toyota-fortuner-2-8-sigma-2022-98028065.webp', 'https://cache4.pakwheels.com/ad_pictures/9802/toyota-fortuner-2-8-sigma-2022-98028072.webp', 'https://cache1.pakwheels.com/ad_pictures/9802/toyota-fortuner-2-8-sigma-2022-98028061.webp', 'https://cache4.pakwheels.com/ad_pictures/9802/toyota-fortuner-2-8-sigma-2022-98028070.webp', 'https://cache4.pakwheels.com/ad_pictures/9802/toyota-fortuner-2-8-sigma-2022-98028067.webp', 'https://cache1.pakwheels.com/ad_pictures/9802/toyota-fortuner-2-8-sigma-2022-98028068.webp', 'https://cache3.pakwheels.com/ad_pictures/9802/toyota-fortuner-2-8-sigma-2022-98028064.webp', 'https://cache1.pakwheels.com/ad_pictures/9802/toyota-fortuner-2-8-sigma-2022-98028069.webp', 'https://cache2.pakwheels.com/ad_pictures/9802/toyota-fortuner-2-8-sigma-2022-98028063.webp', 'https://cache4.pakwheels.com/ad_pictures/9802/toyota-fortuner-2-8-sigma-2022-98028062.webp', 'https://cache1.pakwheels.com/ad_pictures/9802/toyota-fortuner-2-8-sigma-2022-98028066.webp', 'https://wsa1.pakwheels.com/assets/pw-inspection-galary-pitch-14aa6aa9f784fc116bb9c547ba498541.png']","2022
","35,240 km",Diesel,Automatic,Punjab,Black,Local,2800 cc,SUV,"Jun 11, 2024",https://www.pakwheels.com/used-cars/toyota-fortuner-2022-for-sale-in-lahore-8472008,"[' ABS', ' AM/FM Radio', ' Air Bags', ' Air Conditioning', ' Alloy Rims', ' CoolBox', ' Cruise Control', ' Immobilizer Key', ' Keyless Entry', ' Navigation System', ' Power Locks', ' Power Mirrors', ' Power Steering', ' Power Windows']","
  Immaculate Condition Totally Genuine With Parking Sensors Scratch less BodyBrand New TyresFirst Owner Contact For Further Details 

"
Toyota Prado RZ 3.4 (3-Door) 1996,PKR 38 lacs,lahore," Faisal Town, Lahore Punjab","['https://cache4.pakwheels.com/ad_pictures/9836/toyota-prado-rz-3-4-3-door-1996-98363122.webp', 'https://cache3.pakwheels.com/ad_pictures/9836/toyota-prado-rz-3-4-3-door-1996-98363121.webp', 'https://cache2.pakwheels.com/ad_pictures/9836/toyota-prado-rz-3-4-3-door-1996-98363126.webp', 'https://cache3.pakwheels.com/ad_pictures/9836/toyota-prado-rz-3-4-3-door-1996-98363128.webp', 'https://cache4.pakwheels.com/ad_pictures/9836/toyota-prado-rz-3-4-3-door-1996-98363127.webp', 'https://cache1.pakwheels.com/ad_pictures/9836/toyota-prado-rz-3-4-3-door-1996-98363129.webp', 'https://cache2.pakwheels.com/ad_pictures/9836/toyota-prado-rz-3-4-3-door-1996-98363125.webp', 'https://cache2.pakwheels.com/ad_pictures/9836/toyota-prado-rz-3-4-3-door-1996-98363124.webp', 'https://cache3.pakwheels.com/ad_pictures/9836/toyota-prado-rz-3-4-3-door-1996-98363123.webp', 'https://wsa1.pakwheels.com/assets/pw-inspection-galary-pitch-14aa6aa9f784fc116bb9c547ba498541.png']","1996
","130,000 km",Petrol,Automatic,Lahore,White,Imported,3378 cc,SUV,"Jun 11, 2024",https://www.pakwheels.com/used-cars/toyota-prado-1996-for-sale-in-lahore-8495025,"[' ABS', ' AM/FM Radio', ' Air Bags', ' Air Conditioning', ' Alloy Rims', ' CD Player', ' Keyless Entry', ' Power Locks', ' Power Mirrors', ' Power Steering', ' Power Windows']","
  3500cc Petrol Engine 2007 Import and Registered Excellent Condition Contact For Further Details 
    
"
Toyota Prado TZ G 3.4 2003,PKR 75 lacs,lahore, Lahore Punjab,"['https://cache3.pakwheels.com/ad_pictures/1014/toyota-prado-tz-g-3-4-2003-101402260.webp', 'https://cache2.pakwheels.com/ad_pictures/1014/toyota-prado-tz-g-3-4-2003-101402271.webp', 'https://cache1.pakwheels.com/ad_pictures/1014/toyota-prado-tz-g-3-4-2003-101402263.webp', 'https://cache2.pakwheels.com/ad_pictures/1014/toyota-prado-tz-g-3-4-2003-101402264.webp', 'https://cache3.pakwheels.com/ad_pictures/1014/toyota-prado-tz-g-3-4-2003-101402268.webp', 'https://cache3.pakwheels.com/ad_pictures/1014/toyota-prado-tz-g-3-4-2003-101402270.webp', 'https://cache4.pakwheels.com/ad_pictures/1014/toyota-prado-tz-g-3-4-2003-101402269.webp', 'https://cache4.pakwheels.com/ad_pictures/1014/toyota-prado-tz-g-3-4-2003-101402266.webp', 'https://cache3.pakwheels.com/ad_pictures/1014/toyota-prado-tz-g-3-4-2003-101402267.webp', 'https://cache4.pakwheels.com/ad_pictures/1014/toyota-prado-tz-g-3-4-2003-101402261.webp', 'https://cache2.pakwheels.com/ad_pictures/1014/toyota-prado-tz-g-3-4-2003-101402272.webp', 'https://cache3.pakwheels.com/ad_pictures/1014/toyota-prado-tz-g-3-4-2003-101402262.webp', 'https://cache3.pakwheels.com/ad_pictures/1014/toyota-prado-tz-g-3-4-2003-101402265.webp', 'https://cache1.pakwheels.com/ad_pictures/1014/toyota-prado-tz-g-3-4-2003-101402259.webp', 'https://wsa1.pakwheels.com/assets/pw-inspection-galary-pitch-14aa6aa9f784fc116bb9c547ba498541.png']","2003
","120,000 km",Petrol,Automatic,Islamabad, Silver Metallic,Imported,3400 cc,SUV,"Jun 11, 2024",https://www.pakwheels.com/used-cars/toyota-prado-2003-for-sale-in-lahore-8705432,"[' ABS', ' AM/FM Radio', ' Air Bags', ' Air Conditioning', ' Alloy Rims', ' CD Player', ' Cruise Control', ' DVD Player', ' Immobilizer Key', ' Keyless Entry', ' Navigation System', ' Power Locks', ' Power Mirrors', ' Power Steering', ' Power Windows', ' Sun Roof']","
  Car name: PRADO TZMODEL:2003REGISTERED:2020 ISLAMABAD CUSTOM AUCTION CLEAR Engine capacity:3400Fuel type: petrol Transmission: Automatic Height control 4×4 Working Fridge compartment Dual A.cEngine sound less Suspension 100%perfectNew tyres with light weight Alloy rims Battery:newRemarks:2 or 3 piece touching baqi totally genuine condition
    
"
Honda Civic VTi Oriel Prosmatec 1.8 i-VTEC 2011,PKR 26 lacs,lahore," Bahria Town, Lahore Punjab","['https://cache1.pakwheels.com/ad_pictures/1029/honda-civic-vti-1-8-i-vtec-oriel-prosmatec-2011-102992961.webp', 'https://cache1.pakwheels.com/ad_pictures/1029/honda-civic-vti-1-8-i-vtec-oriel-prosmatec-2011-102992946.webp', 'https://cache4.pakwheels.com/ad_pictures/1029/honda-civic-vti-1-8-i-vtec-oriel-prosmatec-2011-102992919.webp', 'https://cache2.pakwheels.com/ad_pictures/1029/honda-civic-vti-1-8-i-vtec-oriel-prosmatec-2011-102992960.webp', 'https://cache4.pakwheels.com/ad_pictures/1029/honda-civic-vti-1-8-i-vtec-oriel-prosmatec-2011-102992908.webp', 'https://cache4.pakwheels.com/ad_pictures/1029/honda-civic-vti-1-8-i-vtec-oriel-prosmatec-2011-102992933.webp', 'https://cache2.pakwheels.com/ad_pictures/1029/honda-civic-vti-1-8-i-vtec-oriel-prosmatec-2011-102992939.webp', 'https://cache4.pakwheels.com/ad_pictures/1029/honda-civic-vti-1-8-i-vtec-oriel-prosmatec-2011-102992923.webp', 'https://wsa1.pakwheels.com/assets/pw-inspection-galary-pitch-14aa6aa9f784fc116bb9c547ba498541.png']","2011
","168,000 km",Petrol,Automatic,Lahore,Silky Silver,Local,1800 cc,Sedan,"Jun 11, 2024",https://www.pakwheels.com/used-cars/honda-civic-2011-for-sale-in-lahore-8824137,"[' ABS', ' AM/FM Radio', ' Air Bags', ' Air Conditioning', ' Alloy Rims', ' CD Player', ' DVD Player', ' Immobilizer Key', ' Keyless Entry', ' Power Locks', ' Power Mirrors', ' Power Steering', ' Power Windows', ' Sun Roof']","
  Call/SMS in office hours only. Just like a Zero Meter car. Never got into accident.
    
"
Changan Alsvin 1.5L DCT Lumiere 2022,PKR 37.3 lacs,lahore," Bahria Town, Lahore Punjab","['https://cache3.pakwheels.com/ad_pictures/1029/changan-alsvin-1-5l-dct-lumiere-2022-102993014.webp', 'https://cache1.pakwheels.com/ad_pictures/1029/changan-alsvin-1-5l-dct-lumiere-2022-102993024.webp', 'https://cache4.pakwheels.com/ad_pictures/1029/changan-alsvin-1-5l-dct-lumiere-2022-102993023.webp', 'https://cache4.pakwheels.com/ad_pictures/1029/changan-alsvin-1-5l-dct-lumiere-2022-102993027.webp', 'https://cache4.pakwheels.com/ad_pictures/1029/changan-alsvin-1-5l-dct-lumiere-2022-102993022.webp', 'https://cache2.pakwheels.com/ad_pictures/1029/changan-alsvin-1-5l-dct-lumiere-2022-102993015.webp', 'https://cache2.pakwheels.com/ad_pictures/1029/changan-alsvin-1-5l-dct-lumiere-2022-102993020.webp', 'https://cache4.pakwheels.com/ad_pictures/1029/changan-alsvin-1-5l-dct-lumiere-2022-102993018.webp', 'https://cache4.pakwheels.com/ad_pictures/1029/changan-alsvin-1-5l-dct-lumiere-2022-102993016.webp', 'https://cache1.pakwheels.com/ad_pictures/1029/changan-alsvin-1-5l-dct-lumiere-2022-102993021.webp']","2022
","24,000 km",Petrol,Automatic,Punjab,Space Gray,Local,1500 cc,Sedan,"Jun 11, 2024",https://www.pakwheels.com/used-cars/changan-alsvin-2022-for-sale-in-lahore-8824133,"[' ABS', ' AM/FM Radio', ' Air Bags', ' Air Conditioning', ' Alloy Rims', ' Cruise Control', ' Immobilizer Key', ' Keyless Entry', ' Power Locks', ' Power Mirrors', ' Power Steering', ' Power Windows', ' Sun Roof']","
  Changhan Alsvin Luminer 2022Space Grey colour 10 by 10 condition Neat and clean car Home used car Total Geniune Exchange also possible  Fully maintained through authorized dealership. Price is slightly negotiable.
    
"
Honda City 1.3 i-VTEC 2010,PKR 23.75 lacs,lahore," Model Town, Lahore Punjab","['https://cache3.pakwheels.com/ad_pictures/1029/honda-city-i-vtec-2-2010-102992954.webp', 'https://cache3.pakwheels.com/ad_pictures/1029/honda-city-i-vtec-2-2010-102992956.webp', 'https://cache4.pakwheels.com/ad_pictures/1029/honda-city-i-vtec-2-2010-102992955.webp', 'https://cache3.pakwheels.com/ad_pictures/1029/honda-city-i-vtec-2-2010-102992953.webp', 'https://cache3.pakwheels.com/ad_pictures/1029/honda-city-i-vtec-2-2010-102992958.webp', 'https://cache3.pakwheels.com/ad_pictures/1029/honda-city-i-vtec-2-2010-102992957.webp', 'https://cache3.pakwheels.com/ad_pictures/1029/honda-city-i-vtec-2-2010-102992952.webp', 'https://cache3.pakwheels.com/ad_pictures/1029/honda-city-i-vtec-2-2010-102992959.webp', 'https://wsa1.pakwheels.com/assets/pw-inspection-galary-pitch-14aa6aa9f784fc116bb9c547ba498541.png']","2010
","143,000 km",Petrol,Manual,Lahore,Lunar Silver Metallic,Local,1300 cc,Sedan,"Jun 11, 2024",https://www.pakwheels.com/used-cars/honda-city-2010-for-sale-in-lahore-8824122,"[' ABS', ' AM/FM Radio', ' Air Conditioning', ' CD Player', ' DVD Player', ' Immobilizer Key', ' Keyless Entry', ' Power Locks', ' Power Mirrors', ' Power Steering', ' Power Windows']","
  I am hereby selling my Honda City Model 2010. Condition of car is still outstanding beacuse of very carefully driven and properly timely maintenance. Just back fender is little showered due to scratches removal. All maintenace work done recently like mobil oil, service etc. Not a single work required just buy and drive. Alloy rims are also installed. For more information and visit you may call on whatsapp (o32IIIII244)and come along with your mechanic for inspection.
    
"
Honda Civic EX 1994,PKR 8 lacs,lahore, Lahore Punjab,"['https://cache3.pakwheels.com/ad_pictures/1013/honda-civic-ex-2-1994-101365438.webp', 'https://cache3.pakwheels.com/ad_pictures/1013/honda-civic-ex-2-1994-101365455.webp', 'https://cache3.pakwheels.com/ad_pictures/1013/honda-civic-ex-2-1994-101365437.webp', 'https://cache3.pakwheels.com/ad_pictures/1013/honda-civic-ex-2-1994-101365446.webp', 'https://cache1.pakwheels.com/ad_pictures/1013/honda-civic-ex-2-1994-101365461.webp', 'https://cache3.pakwheels.com/ad_pictures/1013/honda-civic-ex-2-1994-101365447.webp', 'https://cache4.pakwheels.com/ad_pictures/1013/honda-civic-ex-2-1994-101365463.webp', 'https://cache3.pakwheels.com/ad_pictures/1013/honda-civic-ex-2-1994-101365451.webp', 'https://cache2.pakwheels.com/ad_pictures/1013/honda-civic-ex-2-1994-101365452.webp', 'https://cache4.pakwheels.com/ad_pictures/1013/honda-civic-ex-2-1994-101365450.webp', 'https://cache2.pakwheels.com/ad_pictures/1013/honda-civic-ex-2-1994-101365454.webp', 'https://cache2.pakwheels.com/ad_pictures/1013/honda-civic-ex-2-1994-101365460.webp', 'https://cache1.pakwheels.com/ad_pictures/1013/honda-civic-ex-2-1994-101365439.webp', 'https://cache1.pakwheels.com/ad_pictures/1013/honda-civic-ex-2-1994-101365457.webp', 'https://cache2.pakwheels.com/ad_pictures/1013/honda-civic-ex-2-1994-101365444.webp', 'https://cache2.pakwheels.com/ad_pictures/1013/honda-civic-ex-2-1994-101365456.webp', 'https://cache2.pakwheels.com/ad_pictures/1013/honda-civic-ex-2-1994-101365462.webp', 'https://wsa1.pakwheels.com/assets/pw-inspection-galary-pitch-14aa6aa9f784fc116bb9c547ba498541.png']","1994
","200,000 km",Petrol,Manual,Lahore,White,Local,1500 cc,Sedan,"Jun 11, 2024",https://www.pakwheels.com/used-cars/honda-civic-1994-for-sale-in-lahore-8702819,"[' AM/FM Radio', ' Air Conditioning', ' Cassette Player', ' Power Locks', ' Power Mirrors', ' Power Steering', ' Power Windows']","
  Honda civic 95 Lahore RegisteredIn its original engine with original mileageEngine is 100%Ac 100%Outer showered 5 years ago. Have been using this car for almost 6 years. Each and everything is in working condition. Location Lahore. Please only contact through WhatsApp in office hours. Thanks Driven on petrol throughout. Never got into accident. Original book of this car is also available. Complete original file is availble. Call/SMS only during office hours please.. Original Book is available. Complete service history available. Non accidental. Driven on petrol throughout
    
"
Haval H6 HEV 2024,PKR 1.24 crore,lahore," Jail Road, Lahore Punjab","['https://cache4.pakwheels.com/ad_pictures/9471/haval-h6-hev-2024-94711274.webp', 'https://cache1.pakwheels.com/ad_pictures/1027/haval-h6-hev-2024-102749538.webp']","2024
                        ",10 km,Hybrid,Automatic,Un-Registered,White,Local,1500 cc,Compact SUV,"Jun 11, 2024",https://www.pakwheels.com/used-cars/haval-h6-2024-for-sale-in-lahore-8245975,"[' ABS', ' AM/FM Radio', ' Air Bags', ' Air Conditioning', ' Alloy Rims', ' Cruise Control', ' Immobilizer Key', ' Keyless Entry', ' Navigation System', ' Power Locks', ' Power Mirrors', ' Power Steering', ' Power Windows', ' Sun Roof']","
  HAVAL H6 HEV 2024UNREGISTERED ZERO METERWhite with RedWhite with Beige
    
"
Haval H6 HEV 2024,PKR 1.24 crore,lahore," Jail Road, Lahore Punjab",['https://cache4.pakwheels.com/ad_pictures/9471/haval-h6-hev-2024-94711331.webp'],"2024
                        ",10 km,Hybrid,Automatic,Un-Registered,Black,Local,1500 cc,Compact SUV,"Jun 11, 2024",https://www.pakwheels.com/used-cars/haval-h6-2024-for-sale-in-lahore-8245980,"[' ABS', ' AM/FM Radio', ' Air Bags', ' Air Conditioning', ' Alloy Rims', ' Cruise Control', ' Immobilizer Key', ' Keyless Entry', ' Navigation System', ' Power Locks', ' Power Mirrors', ' Power Steering', ' Power Windows', ' Sun Roof']","
  HAVAL H6 HEV 2024Black with Red
    
"
